Kin-Method,AVG-PR,ROC-AUC,Acc,Emission(kW)
RDKitECFPMorganFP/ARK5_RBF SVM,0.046729,0.500000,0.953271,3.885239e-08
RDKitECFPMorganFP/ARK5_Gaussian Process,0.046729,0.500000,0.953271,6.104812e-06
RDKitECFPMorganFP/ARK5_Decision Tree,0.094526,0.587745,0.939252,8.673483e-09
RDKitECFPMorganFP/ARK5_Random Forest,0.046729,0.500000,0.953271,5.310882e-07
RDKitECFPMorganFP/ARK5_AdaBoost,0.145210,0.637745,0.943925,7.552441e-08
RDKitECFPMorganFP/ARK5_Naive Bayes,0.067056,0.542647,0.943925,6.839246e-09
RDKitECFPMorganFP/ARK5_QDA,0.052910,0.561275,0.163551,9.549067e-08
RDKitECFPMorganFP/ARK5_PLS-DA,0.308888,0.802941,0.948598,6.183117e-07
RDKitECFPMorganFP/ARK5_DNN,0.185872,0.712255,0.953271,2.080342e-05
RDKitECFPMorganFP/AURKA_Nearest Neighbors,0.221485,0.605824,0.906542,1.814070e-08
RDKitECFPMorganFP/AURKA_Linear SVM,0.280569,0.716146,0.887850,1.189266e-08
RDKitECFPMorganFP/AURKA_RBF SVM,0.102804,0.500000,0.897196,3.622646e-08
RDKitECFPMorganFP/AURKA_Gaussian Process,0.265930,0.590909,0.915888,4.659063e-06
RDKitECFPMorganFP/AURKA_Decision Tree,0.134240,0.552557,0.883178,9.809948e-09
RDKitECFPMorganFP/AURKA_Random Forest,0.102804,0.500000,0.897196,5.107402e-07
RDKitECFPMorganFP/AURKA_AdaBoost,0.166931,0.617424,0.855140,7.412858e-08
RDKitECFPMorganFP/AURKA_Naive Bayes,0.152585,0.607008,0.836449,7.171703e-09
RDKitECFPMorganFP/AURKA_QDA,0.107626,0.524858,0.219626,7.786051e-08
RDKitECFPMorganFP/AURKA_PLS-DA,0.456000,0.833097,0.906542,6.046887e-07
RDKitECFPMorganFP/AURKA_DNN,0.390330,0.822917,0.901869,2.060737e-05
RDKitECFPMorganFP/AURKB_Nearest Neighbors,0.291625,0.653495,0.878505,1.613721e-08
RDKitECFPMorganFP/AURKB_Linear SVM,0.367497,0.752563,0.873832,1.242371e-08
RDKitECFPMorganFP/AURKB_RBF SVM,0.135514,0.500000,0.864486,3.560094e-08
RDKitECFPMorganFP/AURKB_Gaussian Process,0.257758,0.633551,0.869159,5.629723e-06
RDKitECFPMorganFP/AURKB_Decision Tree,0.263347,0.666356,0.850467,6.779777e-09
RDKitECFPMorganFP/AURKB_Random Forest,0.135514,0.500000,0.864486,5.155386e-07
RDKitECFPMorganFP/AURKB_AdaBoost,0.400270,0.748835,0.892523,7.338969e-08
RDKitECFPMorganFP/AURKB_Naive Bayes,0.269595,0.696459,0.827103,6.116253e-09
RDKitECFPMorganFP/AURKB_QDA,0.150570,0.557409,0.285047,7.436412e-08
RDKitECFPMorganFP/AURKB_PLS-DA,0.498454,0.819944,0.864486,6.051139e-07
RDKitECFPMorganFP/AURKB_DNN,0.452751,0.786207,0.869159,2.072976e-05
RDKitECFPMorganFP/AURKC_Nearest Neighbors,0.166080,0.573868,0.887850,1.506316e-08
RDKitECFPMorganFP/AURKC_Linear SVM,0.227972,0.675506,0.864486,1.095404e-08
RDKitECFPMorganFP/AURKC_RBF SVM,0.107477,0.497382,0.887850,3.517832e-08
RDKitECFPMorganFP/AURKC_Gaussian Process,0.111499,0.511268,0.878505,1.756328e-06
RDKitECFPMorganFP/AURKC_Decision Tree,0.221732,0.617346,0.897196,8.411180e-09
RDKitECFPMorganFP/AURKC_Random Forest,0.107477,0.500000,0.892523,5.175919e-07
RDKitECFPMorganFP/AURKC_AdaBoost,0.275278,0.705099,0.883178,7.684766e-08
RDKitECFPMorganFP/AURKC_Naive Bayes,0.206290,0.653767,0.859813,7.271513e-09
RDKitECFPMorganFP/AURKC_QDA,0.121693,0.565445,0.224299,8.122370e-08
RDKitECFPMorganFP/AURKC_PLS-DA,0.362618,0.768040,0.887850,6.132722e-07
RDKitECFPMorganFP/AURKC_DNN,0.339767,0.733895,0.883178,2.138080e-05
RDKitECFPMorganFP/AXL_Nearest Neighbors,0.384112,0.663993,0.911215,1.650415e-08
RDKitECFPMorganFP/AXL_Linear SVM,0.323738,0.684987,0.892523,1.218346e-08
RDKitECFPMorganFP/AXL_RBF SVM,0.126168,0.500000,0.873832,3.765442e-08
RDKitECFPMorganFP/AXL_Gaussian Process,0.320353,0.611111,0.901869,4.282770e-06
RDKitECFPMorganFP/AXL_Decision Tree,0.472741,0.764409,0.920561,7.204693e-09
RDKitECFPMorganFP/AXL_Random Forest,0.126168,0.500000,0.873832,5.300943e-07
RDKitECFPMorganFP/AXL_AdaBoost,0.278470,0.674292,0.873832,7.633733e-08
RDKitECFPMorganFP/AXL_Naive Bayes,0.233760,0.647752,0.855140,6.807304e-09
RDKitECFPMorganFP/AXL_QDA,0.146739,0.580214,0.266355,7.911629e-08
RDKitECFPMorganFP/AXL_PLS-DA,0.631746,0.928303,0.901869,6.209956e-07
RDKitECFPMorganFP/AXL_DNN,0.708463,0.894633,0.906542,2.154931e-05
RDKitECFPMorganFP/BIKE_Nearest Neighbors,0.295104,0.624282,0.897196,1.496242e-08
RDKitECFPMorganFP/BIKE_Linear SVM,0.364717,0.745692,0.887850,1.149980e-08
RDKitECFPMorganFP/BIKE_RBF SVM,0.126168,0.500000,0.873832,3.794355e-08
RDKitECFPMorganFP/BIKE_Gaussian Process,0.126168,0.500000,0.873832,2.839861e-06
RDKitECFPMorganFP/BIKE_Decision Tree,0.363217,0.732521,0.892523,6.987076e-09
RDKitECFPMorganFP/BIKE_Random Forest,0.126168,0.500000,0.873832,5.159404e-07
RDKitECFPMorganFP/BIKE_AdaBoost,0.351118,0.729847,0.887850,7.282651e-08
RDKitECFPMorganFP/BIKE_Naive Bayes,0.247131,0.663597,0.855140,6.483213e-09
RDKitECFPMorganFP/BIKE_QDA,0.143768,0.569717,0.275701,8.550603e-08
RDKitECFPMorganFP/BIKE_PLS-DA,0.654066,0.852644,0.920561,5.993499e-07
RDKitECFPMorganFP/BIKE_DNN,0.645130,0.883541,0.892523,2.025057e-05
RDKitECFPMorganFP/BLK_Nearest Neighbors,0.340840,0.710746,0.906542,2.566378e-08
RDKitECFPMorganFP/BLK_Linear SVM,0.432681,0.788816,0.915888,1.252186e-08
RDKitECFPMorganFP/BLK_RBF SVM,0.149143,0.520833,0.892523,3.733695e-08
RDKitECFPMorganFP/BLK_Gaussian Process,0.204569,0.578070,0.897196,5.889982e-06
RDKitECFPMorganFP/BLK_Decision Tree,0.296902,0.687281,0.897196,6.689642e-09
RDKitECFPMorganFP/BLK_Random Forest,0.112150,0.500000,0.887850,5.089327e-07
RDKitECFPMorganFP/BLK_AdaBoost,0.340840,0.710746,0.906542,7.309430e-08
RDKitECFPMorganFP/BLK_Naive Bayes,0.192865,0.616886,0.869159,6.239812e-09
RDKitECFPMorganFP/BLK_QDA,0.129032,0.573684,0.242991,1.026979e-07
RDKitECFPMorganFP/BLK_PLS-DA,0.564930,0.886623,0.915888,6.138404e-07
RDKitECFPMorganFP/BLK_DNN,0.526070,0.845833,0.897196,2.055547e-05
RDKitECFPMorganFP/BMPR1B_Nearest Neighbors,0.205248,0.576923,0.948598,1.611854e-08
RDKitECFPMorganFP/BMPR1B_Linear SVM,0.145630,0.605434,0.934579,1.043231e-08
RDKitECFPMorganFP/BMPR1B_RBF SVM,0.060748,0.500000,0.939252,3.764744e-08
RDKitECFPMorganFP/BMPR1B_Gaussian Process,0.060748,0.500000,0.939252,5.838662e-06
RDKitECFPMorganFP/BMPR1B_Decision Tree,0.162114,0.607922,0.939252,9.238088e-09
RDKitECFPMorganFP/BMPR1B_Random Forest,0.060748,0.500000,0.939252,5.012170e-07
RDKitECFPMorganFP/BMPR1B_AdaBoost,0.128325,0.571948,0.939252,7.161586e-08
RDKitECFPMorganFP/BMPR1B_Naive Bayes,0.095358,0.564485,0.925234,6.024389e-09
RDKitECFPMorganFP/BMPR1B_QDA,0.073864,0.594527,0.238318,8.428807e-08
RDKitECFPMorganFP/BMPR1B_PLS-DA,0.354736,0.819747,0.943925,5.885431e-07
RDKitECFPMorganFP/BMPR1B_DNN,0.331708,0.735170,0.943925,2.055460e-05
RDKitECFPMorganFP/BMX_Nearest Neighbors,0.037383,0.490291,0.943925,1.602338e-08
RDKitECFPMorganFP/BMX_Linear SVM,0.210864,0.680218,0.962617,9.003741e-09
RDKitECFPMorganFP/BMX_RBF SVM,0.037383,0.500000,0.962617,3.835484e-08
RDKitECFPMorganFP/BMX_Gaussian Process,0.153037,0.620146,0.962617,7.831158e-06
RDKitECFPMorganFP/BMX_Decision Tree,0.148364,0.672937,0.948598,1.001222e-08
RDKitECFPMorganFP/BMX_Random Forest,0.037383,0.500000,0.962617,5.126638e-07
RDKitECFPMorganFP/BMX_AdaBoost,0.163989,0.675364,0.953271,7.240979e-08
RDKitECFPMorganFP/BMX_Naive Bayes,0.210864,0.680218,0.962617,5.708595e-09
RDKitECFPMorganFP/BMX_QDA,0.044199,0.580097,0.191589,8.075577e-08
RDKitECFPMorganFP/BMX_PLS-DA,0.335811,0.725728,0.962617,6.023461e-07
RDKitECFPMorganFP/BMX_DNN,0.176200,0.768811,0.962617,2.126593e-05
RDKitECFPMorganFP/BRAF_Nearest Neighbors,0.093328,0.520125,0.906542,2.610448e-08
RDKitECFPMorganFP/BRAF_Linear SVM,0.323306,0.732143,0.925234,1.016389e-08
RDKitECFPMorganFP/BRAF_RBF SVM,0.084112,0.500000,0.915888,3.378317e-08
RDKitECFPMorganFP/BRAF_Gaussian Process,0.170093,0.578231,0.920561,3.051462e-06
RDKitECFPMorganFP/BRAF_Decision Tree,0.130322,0.550454,0.915888,6.925317e-09
RDKitECFPMorganFP/BRAF_Random Forest,0.084112,0.500000,0.915888,5.060763e-07
RDKitECFPMorganFP/BRAF_AdaBoost,0.164186,0.598356,0.911215,7.664586e-08
RDKitECFPMorganFP/BRAF_Naive Bayes,0.137908,0.605726,0.878505,5.400863e-09
RDKitECFPMorganFP/BRAF_QDA,0.093378,0.553855,0.228972,9.542914e-08
RDKitECFPMorganFP/BRAF_PLS-DA,0.401941,0.724490,0.901869,6.088794e-07
RDKitECFPMorganFP/BRAF_DNN,0.327696,0.809240,0.911215,2.102278e-05
RDKitECFPMorganFP/BRK_Nearest Neighbors,0.243915,0.663780,0.925234,1.592777e-08
RDKitECFPMorganFP/BRK_Linear SVM,0.154865,0.602419,0.911215,1.084417e-08
RDKitECFPMorganFP/BRK_RBF SVM,0.079439,0.500000,0.920561,3.647523e-08
RDKitECFPMorganFP/BRK_Gaussian Process,0.153656,0.580621,0.920561,3.777261e-06
RDKitECFPMorganFP/BRK_Decision Tree,0.141051,0.578083,0.915888,6.890233e-09
