Kin-Method,AVG-PR,ROC-AUC,Acc,Emission(kW)
RDKitDescriptorsResults/BMPR1B_RBF SVM,0.060748,0.500000,0.939252,1.729032e-08
RDKitDescriptorsResults/BMPR1B_Gaussian Process,0.060748,0.500000,0.939252,1.336204e-06
RDKitDescriptorsResults/BMPR1B_Decision Tree,0.077043,0.552047,0.901869,1.310121e-08
RDKitDescriptorsResults/BMPR1B_Random Forest,0.060748,0.500000,0.939252,7.403583e-07
RDKitDescriptorsResults/BMPR1B_AdaBoost,0.128325,0.571948,0.939252,1.234802e-07
RDKitDescriptorsResults/BMPR1B_Naive Bayes,0.068940,0.560084,0.443925,3.521152e-09
RDKitDescriptorsResults/BMPR1B_QDA,0.060748,0.500000,0.939252,3.021497e-08
RDKitDescriptorsResults/BMPR1B_PLS-DA,0.307393,0.800230,0.943925,1.288363e-07
RDKitDescriptorsResults/BMPR1B_DNN,0.219418,0.635285,0.943925,1.984079e-05
RDKitDescriptorsResults/BMX_Nearest Neighbors,0.111371,0.615291,0.953271,3.149839e-08
RDKitDescriptorsResults/BMX_Linear SVM,0.128037,0.617718,0.957944,5.579013e-09
RDKitDescriptorsResults/BMX_RBF SVM,0.037383,0.500000,0.962617,2.129017e-08
RDKitDescriptorsResults/BMX_Gaussian Process,0.153037,0.620146,0.962617,3.658774e-06
RDKitDescriptorsResults/BMX_Decision Tree,0.093677,0.655947,0.915888,1.199263e-08
RDKitDescriptorsResults/BMX_Random Forest,0.128037,0.617718,0.957944,7.459192e-07
RDKitDescriptorsResults/BMX_AdaBoost,0.073492,0.603155,0.929907,1.148071e-07
RDKitDescriptorsResults/BMX_Naive Bayes,0.042954,0.562500,0.504673,3.899239e-09
RDKitDescriptorsResults/BMX_QDA,0.037383,0.500000,0.962617,2.961363e-08
RDKitDescriptorsResults/BMX_PLS-DA,0.303835,0.642597,0.957944,1.234852e-07
RDKitDescriptorsResults/BMX_DNN,0.123696,0.640777,0.962617,1.966273e-05
RDKitDescriptorsResults/BRAF_Nearest Neighbors,0.215069,0.628685,0.920561,1.364099e-08
RDKitDescriptorsResults/BRAF_Linear SVM,0.164186,0.598356,0.911215,7.367194e-09
RDKitDescriptorsResults/BRAF_RBF SVM,0.084112,0.500000,0.915888,1.805856e-08
RDKitDescriptorsResults/BRAF_Gaussian Process,0.213569,0.606009,0.925234,5.064787e-06
RDKitDescriptorsResults/BRAF_Decision Tree,0.176488,0.621032,0.906542,1.284965e-08
RDKitDescriptorsResults/BRAF_Random Forest,0.185877,0.555556,0.925234,7.537106e-07
RDKitDescriptorsResults/BRAF_AdaBoost,0.283766,0.704365,0.920561,1.177285e-07
RDKitDescriptorsResults/BRAF_Naive Bayes,0.106096,0.610261,0.378505,3.604051e-09
RDKitDescriptorsResults/BRAF_QDA,0.084112,0.494898,0.906542,3.263617e-08
RDKitDescriptorsResults/BRAF_PLS-DA,0.343531,0.793934,0.911215,9.762295e-08
RDKitDescriptorsResults/BRAF_DNN,0.440937,0.804989,0.925234,2.063519e-05
RDKitDescriptorsResults/BRK_Nearest Neighbors,0.131597,0.575545,0.911215,1.384451e-08
RDKitDescriptorsResults/BRK_Linear SVM,0.117152,0.551209,0.915888,5.302687e-09
RDKitDescriptorsResults/BRK_RBF SVM,0.079439,0.500000,0.920561,1.894887e-08
RDKitDescriptorsResults/BRK_Gaussian Process,0.079439,0.500000,0.920561,2.782074e-06
RDKitDescriptorsResults/BRK_Decision Tree,0.334964,0.698268,0.939252,1.347616e-08
RDKitDescriptorsResults/BRK_Random Forest,0.187741,0.558824,0.929907,7.548939e-07
RDKitDescriptorsResults/BRK_AdaBoost,0.131597,0.575545,0.911215,1.173808e-07
RDKitDescriptorsResults/BRK_Naive Bayes,0.083644,0.526575,0.425234,4.722172e-09
RDKitDescriptorsResults/BRK_QDA,0.079439,0.494924,0.911215,3.577861e-08
RDKitDescriptorsResults/BRK_PLS-DA,0.346045,0.821141,0.925234,1.286977e-07
RDKitDescriptorsResults/BRK_DNN,0.426957,0.899672,0.911215,2.003678e-05
RDKitDescriptorsResults/BTK_Nearest Neighbors,0.170892,0.597537,0.957746,3.956761e-08
RDKitDescriptorsResults/BTK_Linear SVM,0.046948,0.500000,0.953052,7.846111e-09
RDKitDescriptorsResults/BTK_RBF SVM,0.046948,0.497537,0.948357,2.025440e-08
RDKitDescriptorsResults/BTK_Gaussian Process,0.046948,0.500000,0.953052,3.287756e-06
RDKitDescriptorsResults/BTK_Decision Tree,0.046948,0.487685,0.929577,1.126681e-08
RDKitDescriptorsResults/BTK_Random Forest,0.046948,0.500000,0.953052,7.482044e-07
RDKitDescriptorsResults/BTK_AdaBoost,0.054754,0.532759,0.924883,1.130744e-07
RDKitDescriptorsResults/BTK_Naive Bayes,0.081110,0.711084,0.539906,6.014669e-09
RDKitDescriptorsResults/BTK_QDA,0.046948,0.500000,0.953052,3.094633e-08
RDKitDescriptorsResults/BTK_PLS-DA,0.124449,0.738424,0.953052,1.206431e-07
RDKitDescriptorsResults/BTK_DNN,0.389294,0.874877,0.953052,1.976699e-05
RDKitDescriptorsResults/BUB1_Nearest Neighbors,0.192808,0.595607,0.892523,1.413799e-08
RDKitDescriptorsResults/BUB1_Linear SVM,0.113673,0.513886,0.883178,6.779042e-09
RDKitDescriptorsResults/BUB1_RBF SVM,0.107477,0.500000,0.892523,1.759381e-08
RDKitDescriptorsResults/BUB1_Gaussian Process,0.107477,0.500000,0.892523,9.690457e-07
RDKitDescriptorsResults/BUB1_Decision Tree,0.117914,0.531186,0.845794,1.123070e-08
RDKitDescriptorsResults/BUB1_Random Forest,0.107477,0.500000,0.892523,7.700453e-07
RDKitDescriptorsResults/BUB1_AdaBoost,0.158350,0.571250,0.883178,1.152609e-07
RDKitDescriptorsResults/BUB1_Naive Bayes,0.112678,0.525609,0.289720,3.690199e-09
RDKitDescriptorsResults/BUB1_QDA,0.107477,0.500000,0.892523,2.820920e-08
RDKitDescriptorsResults/BUB1_PLS-DA,0.240762,0.698839,0.887850,1.208846e-07
RDKitDescriptorsResults/BUB1_DNN,0.311861,0.716595,0.906542,2.097800e-05
RDKitDescriptorsResults/CDK11_Nearest Neighbors,0.189586,0.632857,0.934579,1.626962e-08
RDKitDescriptorsResults/CDK11_Linear SVM,0.151313,0.568929,0.939252,5.498788e-09
